ID,countryCode,year,sex,agefrom,ageto,percentage_no_schooling,percentage_primary_schooling,percentage_primary_schooling_completed,percentage_secondary_schooling,percentage_secondary_schooling_completed,percentage_tertiary_schooling,percentage_tertiary_schooling_completed,yr_sch,region_code,literate_pop,target
ID_00AMK8K,155,1990,MF,15,999,8.39,26.27,15.83,58.57,26.42,6.77,4.4,8.54,Latin America and the Caribbean,7435.0,91.60916707737802
ID_00ANS9C,115,2005,MF,25,999,0.6325000000000001,6.980833333333333,6.363333333333334,77.68333333333334,49.99583333333333,14.70083333333333,13.546666666666669,11.631666666666666,Europe and Central Asia,14350.0,99.36296911785072
ID_00AQU1S,30,2000,M,15,999,68.53,26.32,16.02,4.62,2.32,0.54,0.31,1.55,Sub-Saharan Africa,1458.0,31.46988992013814
ID_00AVQ7Q,143,1960,MF,15,999,12.53,69.37,49.26,8.13,1.1,9.97,5.51,7.49,Latin America and the Caribbean,45.0,86.53846153846153
ID_00BAH2C,70,1955,MF,25,999,20.98,55.9,22.38,20.85,10.24,2.27,1.95,4.89,Latin America and the Caribbean,2380.0,79.01726427622842
ID_00BTP2V,134,2000,F,25,999,64.88,27.39,20.18,6.82,3.64,0.91,0.57,2.32,East Asia and the Pacific,353.0,35.05461767626614
ID_00BVN5Z,79,1995,MF,25,999,75.87,14.36,1.81,3.25,1.7,6.52,4.37,1.86,South Asia,1744.0,24.1250518743948
ID_00DMB8F,100,1995,MF,25,999,27.818333333333328,36.03,16.99416666666667,30.06000000000001,13.633333333333333,6.091666666666666,5.189166666666667,5.826666666666668,East Asia and the Pacific,3180.0,72.17430776214253
ID_00EDS3J,21,2000,M,15,999,18.42,47.89,23.16,28.13,7.74,5.56,3.09,6.53,Sub-Saharan Africa,6928.0,81.57306016719652
ID_00EDV6W,127,1955,M,15,999,0.23,62.43,38.49,25.22,18.37,12.12,8.39,9.47,Advanced Economies,1786.0,99.72082635399218
ID_00EJC3Y,118,1980,M,25,999,5.81,54.97,42.94,33.89,12.67,5.33,4.07,6.67,Advanced Economies,15694.0,94.18472063854048
ID_00EJX2D,126,1970,MF,15,999,1.7833333333333332,27.55666666666667,19.81,67.07333333333334,35.48666666666667,3.5500000000000003,1.78,9.4,Advanced Economies,7443.0,98.17965967550457
ID_00EYZ4V,116,2000,MF,25,999,1.185833333333333,49.33166666666667,36.32583333333333,34.31666666666667,22.411666666666665,15.165,9.871666666666668,9.025833333333331,Advanced Economies,341.0,98.55491329479769
ID_00FJZ1V,65,1955,MF,15,999,14.23,73.73,39.92,11.28,2.9,0.76,0.45,5.32,Latin America and the Caribbean,356.0,85.57692307692308
ID_00FRK8B,58,1990,MF,15,999,13.233333333333334,59.47666666666667,30.346666666666664,24.316666666666663,9.93,2.973333333333333,1.3,5.6066666666666665,Latin America and the Caribbean,3171.0,86.75786593707251
ID_00GCR6M,40,1960,F,15,999,71.03,24.31,5.25,4.49,1.73,0.16,0.1,1.54,Sub-Saharan Africa,28.0,28.0
ID_00GDA8Q,151,1950,MF,25,999,1.1083333333333334,83.16,48.815000000000005,14.314166666666663,6.701666666666667,1.419166666666667,0.9033333333333332,7.878333333333335,Europe and Central Asia,10751.0,98.8870493009566
ID_00GDJ0X,61,1960,MF,15,999,54.96,38.51,9.14,4.5,2.33,2.02,1.98,2.17,Latin America and the Caribbean,378.0,45.0
ID_00GFK3H,101,2000,MF,15,999,8.7,13.8,8.8,64.3,48.1,13.2,7.65,10.24,South Asia,13377.0,91.2981162981163
ID_00GRX6H,316,1955,MF,15,999,45.78,27.14,11.146666666666668,24.76333333333333,9.68,2.313333333333333,2.1533333333333333,3.1099999999999994,East Asia and the Pacific,351.0,54.16666666666666
ID_00GTS5Z,322,1980,MF,25,999,14.74,49.95,43.49,30.1,15.38,5.21,3.33,7.85,Europe and Central Asia,2374.0,85.2423698384201
ID_00GWI4L,153,2005,M,15,999,1.31,10.83,1.02,76.99,51.88,10.88,6.62,10.66,Europe and Central Asia,8745.0,98.69089267577024
ID_00HMF1D,7,2005,F,25,999,30.08,51.37,28.39,17.57,9.68,0.98,0.65,4.6,Sub-Saharan Africa,2178.0,69.91974317817015
ID_00IBQ4U,128,1970,F,15,999,72.4,21.59,14.2,5.5,2.73,0.51,0.23,1.49,Advanced Economies,2888.0,27.59411427479457
ID_00ICK0U,95,1960,F,25,999,99.9,0.1,0.03,0.1,0.04,0.0,0.0,0.01,South Asia,4.0,0.1901140684410646
ID_00IJL2L,118,1950,MF,25,999,16.1,73.1,41.2,9.3,3.8,1.5,0.98,4.04,Advanced Economies,22383.0,83.89744743056336
ID_00IOX3G,56,2005,M,15,999,23.87,55.44,21.37,17.68,8.46,3.01,2.46,4.61,Latin America and the Caribbean,2577.0,76.12998522895126
ID_00IVK9O,110,2005,M,15,999,1.9,6.67,4.72,67.99,40.65,23.43,15.53,11.26,Advanced Economies,2121.0,98.05825242718448
ID_00JAE5E,310,1950,M,15,999,82.51,16.15,5.24,1.3,0.17,0.04,0.02,0.78,East Asia and the Pacific,218.0,17.46794871794872
ID_00JBN8R,75,1995,MF,15,999,7.053333333333334,26.33333333333333,8.06,46.55,29.75333333333333,20.063333333333333,14.163333333333334,8.706666666666667,Latin America and the Caribbean,18586.0,92.94394159123868
ID_00JFN2J,326,2000,M,25,999,3.36,11.73,5.7,73.28,45.19,11.63,8.26,9.52,Europe and Central Asia,1084.0,96.6131907308378
ID_00JKO9X,342,2000,MF,25,999,14.091666666666669,41.48333333333333,25.16666666666667,35.3,15.516666666666667,9.15,6.133333333333333,5.823333333333333,East Asia and the Pacific,484.0,85.81560283687944
ID_00JQE8B,39,1995,M,25,999,54.43,32.14,22.02,12.32,4.7,1.11,0.76,2.76,Sub-Saharan Africa,2498.0,45.55900054714572
ID_00JSY2Z,315,1990,MF,15,999,35.17,32.68,13.06,31.13,21.89,1.02,0.26,4.43,South Asia,73.0,64.03508771929825
ID_00JVH2J,7,2000,MF,15,999,16.74,52.06333333333333,34.82,29.41,13.636666666666668,1.7866666666666664,0.7366666666666667,6.239999999999999,Sub-Saharan Africa,9607.0,83.25678135020365
ID_00JWT1P,73,1990,M,25,999,5.04,64.33,37.54,29.19,15.28,1.44,1.01,6.81,Latin America and the Caribbean,131.0,94.24460431654676
ID_00JYF7V,325,1975,F,25,999,22.76,36.11,33.64,34.27,19.53,6.87,4.07,5.56,Europe and Central Asia,832.0,77.1799628942486
ID_00KAQ5K,323,2005,F,25,999,0.18,6.67,6.12,59.74,45.07,33.43,22.11,12.24,Europe and Central Asia,516.0,99.80657640232108
ID_00KCB0U,329,1960,M,15,999,18.41,59.59,29.45,20.38,9.76,1.62,1.02,6.04,Europe and Central Asia,2223.0,81.57798165137615
ID_00KCR8F,62,1985,MF,25,999,15.02,47.18,23.92,27.18,14.35,10.62,6.56,6.63,Latin America and the Caribbean,762.0,84.94983277591973
ID_00KGT0N,318,2005,MF,25,999,37.2,9.2,3.82,33.6,20.76,20.0,13.37,7.1,Middle East and North Africa,328.0,62.7151051625239
ID_00KPX5H,144,1950,MF,25,999,74.675,17.883333333333333,6.27,6.810833333333334,2.611666666666667,0.63,0.4191666666666667,1.5458333333333334,East Asia and the Pacific,11.0,24.69135802469136
ID_00KWB7Q,58,1965,MF,15,999,43.27666666666666,48.85666666666666,10.62,7.226666666666667,3.766666666666667,0.64,0.27,2.58,Latin America and the Caribbean,896.0,56.6729917773561
ID_00LBT4I,21,2000,MF,25,999,45.66833333333333,38.234166666666674,15.318333333333332,12.9625,3.7058333333333326,3.0674999999999994,2.0516666666666667,3.875833333333334,Sub-Saharan Africa,11216.0,54.262215771649736
ID_00LMI3O,103,1995,MF,15,999,2.34,11.050000000000002,5.863333333333333,62.07333333333333,38.24666666666666,24.540000000000003,4.303333333333334,10.576666666666666,East Asia and the Pacific,19599.0,97.66294598365558
ID_00LMY0C,314,1995,MF,25,999,54.965,34.07,16.830833333333334,8.031666666666666,1.9283333333333328,2.933333333333333,1.9591666666666667,2.7591666666666668,East Asia and the Pacific,1569.0,45.03444316877152
ID_00LQH4W,133,2005,M,15,999,0.19,30.14,23.52,29.87,16.98,39.8,15.22,11.64,Advanced Economies,1534.0,99.80481457384516
ID_00LQL4N,27,1975,F,25,999,70.35,29.19,11.31,0.36,0.15,0.1,0.06,1.27,Sub-Saharan Africa,81.0,29.347826086956523
ID_00LRC9H,170,1995,F,15,999,1.76,35.77,27.42,53.34,31.49,9.13,4.26,10.8,Europe and Central Asia,2121.0,98.19444444444444
